Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
07:00,Morning Arrival & Play,Morning Arrival & Play,Morning Arrival & Play,Morning Arrival & Play,Morning Arrival & Play,Weekend - Family Time,Weekend - Family Time
08:00,Breakfast 🍳,Breakfast 🍳,Breakfast 🍳,Breakfast 🍳,Breakfast 🍳,Weekend - Family Time,Weekend - Family Time
09:00,Circle Time & Art 🎨,Circle Time & Math,Circle Time & Music 🎵,Circle Time & Reading,Circle Time & Games,Weekend - Outing 🌳,Weekend - Outing 🌳
10:00,Outdoor Play ☀️,Outdoor Play ☀️,Outdoor Play ☀️,Outdoor Play ☀️,Outdoor Play ☀️,Weekend - Outing 🌳,Weekend - Outing 🌳
11:00,Story Time 📖,Story Time 📖,Story Time 📖,Story Time 📖,Story Time 📖,Lunch Prep,Lunch Prep
12:00,Lunch 🥣,Lunch 🥣,Lunch 🥣,Lunch 🥣,Lunch 🥣,Lunch,Lunch
13:00,Nap Time 😴,Nap Time 😴,Nap Time 😴,Nap Time 😴,Nap Time 😴,Quiet Time,Quiet Time
14:00,Nap Time 😴,Nap Time 😴,Nap Time 😴,Nap Time 😴,Nap Time 😴,Quiet Time,Quiet Time
15:00,Snack & Reading 🍎,Snack & Reading 🍎,Snack & Reading 🍎,Snack & Reading 🍎,Snack & Reading 🍎,Afternoon Play,Afternoon Play
16:00,Outdoor Play & Pickup,Outdoor Play & Pickup,Outdoor Play & Pickup,Outdoor Play & Pickup,Outdoor Play & Pickup,Afternoon Play,Afternoon Play
17:00,Free Play / Late Care,Free Play / Late Care,Free Play / Late Care,Free Play / Late Care,Free Play / Late Care,Dinner,Dinner
18:00,Late Care,Late Care,Late Care,Late Care,Late Care,Family Activities,Family Activities
19:00,Closing,Closing,Closing,Closing,Closing,Bedtime Prep,Bedtime Prep
20:00,Closed,Closed,Closed,Closed,Closed,Bedtime,Bedtime
